Commodity,"52W High","52W Low","Apr 1, 2025","Mar 25, 2025","Mar 18, 2025","Mar 11, 2025","Mar 4, 2025","Feb 25, 2025","Feb 18, 2025","Feb 11, 2025","Feb 4, 2025","Jan 28, 2025","Jan 21, 2025","Jan 14, 2025","Jan 7, 2025","Dec 31, 2024","Dec 24, 2024","Dec 17, 2024","Dec 10, 2024","Dec 3, 2024","Nov 26, 2024","Nov 19, 2024","Nov 12, 2024","Nov 5, 2024","Oct 29, 2024","Oct 22, 2024","Oct 15, 2024","Oct 8, 2024","Oct 1, 2024","Sep 24, 2024","Sep 17, 2024","Sep 10, 2024","Sep 3, 2024","Aug 27, 2024","Aug 20, 2024","Aug 13, 2024","Aug 6, 2024","Jul 30, 2024","Jul 23, 2024","Jul 16, 2024","Jul 9, 2024","Jul 2, 2024","Jun 25, 2024","Jun 18, 2024","Jun 11, 2024","Jun 4, 2024","May 28, 2024","May 21, 2024","May 14, 2024","May 7, 2024","Apr 30, 2024","Apr 23, 2024","Apr 16, 2024","Apr 9, 2024","Apr 2, 2024"
"South African Rand/U.S. Dollar","14,727","-33,023","6,012","6,917","6,031","-11,820","-12,792","-18,767","-15,323","-15,622","-10,736","-10,396","-6,683","-6,156","-6,507","-6,096","-16,106","-18,196","13,644","14,727","13,846","14,483","7,249","6,103","6,448","5,839","6,305","5,179","4,344","2,182","2,000","-17,854","-19,981","-19,351","-20,121","-18,077","-19,405","-22,393","-27,175","-29,084","-27,593","-31,663","-33,023","-22,337","-17,179","-31,822","-32,934","-32,382","-29,274","-27,721","-24,575","-20,924","-22,457","-18,178","-14,819"
"U.S. Dollar/Australian Dollar","44,281","-22,577","33,119","31,240","29,920","23,790","28,373","30,552","33,347","42,495","38,549","44,281","36,659","39,039","33,788","33,230","27,604","22,119","4,387","6,390","-1,473","-2,913",315,"-12,148","-19,061","-15,877","-12,014","-22,577","-16,711","1,372","17,115","8,602","17,259","20,148","27,087","22,768","16,507","9,619","2,063","2,075",915,"-1,449","3,409","10,766","17,246","11,371","12,911","19,509","30,163","33,147","33,211","28,368","24,575","30,511","24,013"
"U.S. Dollar/Brazilian Real","21,188","-6,856","9,966","9,255","2,602","1,692","11,170","20,353","12,438","11,798","9,563","19,611","14,292","15,491","10,720","6,728","4,423","6,704","4,052","7,585","8,500","3,417","2,790","5,950",184,-552,"1,105","1,911","21,188","19,483","6,591","4,458","16,823","18,254","15,214","13,251","5,140","1,751","4,649","9,004","6,781","12,438","6,434","2,873","-2,641","-6,856","12,826","12,579","10,798","10,183","1,573","-3,043","5,241","3,938","1,197"
"U.S. Dollar/Canadian Dollar","103,134","35,053","49,421","50,122","63,522","63,461","64,580","66,877","78,094","81,647","90,818","83,946","92,372","88,056","94,579","84,857","84,112","73,893","79,448","73,830","77,226","85,703","90,639","88,302","80,811","64,901","56,011","54,882","44,472","42,565","51,618","44,822","51,191","72,955","89,257","103,134","100,669","102,790","82,969","71,590","66,925","69,323","61,714","70,136","71,597","51,232","51,719","57,597","54,905","46,935","49,516","45,293","45,140","35,053","22,250"
"U.S. Dollar/Swiss Franc","22,902","-2,607","22,902","21,150","16,929","16,741","15,096","16,101","14,160","14,958","13,633","15,169","11,929","8,331","9,808","5,767","2,970","-2,607","12,845","12,795","12,980","11,695","10,395","3,947","7,013","8,167","4,590","2,481","8,082","4,297","2,902","4,123","4,687","3,854","7,167","5,925","7,372","15,446","18,888","20,626","20,173","18,261","15,051","16,757","14,357","14,260","11,010","11,482","10,700","12,321","7,419","8,085","2,371","1,928","-1,716"
"British Pound/Euro","14,661","1,068","1,068","2,405","2,660","5,052","4,670","4,763","6,247","6,154","6,588","6,780","4,557","3,413","2,510","2,968","2,722","1,532","6,207","4,749","4,115","1,068","2,063","2,311","3,411","5,008","5,860","6,341","7,435","6,272","6,323","7,935","8,366","12,883","14,661","13,211","7,336","3,912","3,708","3,324","2,916","3,500","3,296","2,657","5,581","5,822","5,279","6,178","7,068","5,546","4,634","5,642","4,142","4,773","4,609"
"U.S. Dollar/Euro","46,532","-32,890","-32,890","-26,376","-13,859","5,919","8,222","5,296","11,227","20,827","22,177","34,296","35,234","39,799","41,588","41,840","46,532","38,245","43,921","36,202","29,956","39,811","29,013","24,034","30,212","10,156","-12,903","-17,906",103,"-4,766","-5,718","-12,827","-25,852","-20,468","2,684","23,418","14,608","18,164","-4,340","-7,389","5,473","9,449","11,599","8,819","1,392","-12,343","-7,346","2,379","7,085","16,801","23,184","35,467","34,545","21,555","9,393"
"U.S. Dollar/British Pound","12,063","-83,168","-48,250","-40,706","-31,956","-27,933","-33,750","-32,068","-34,804","-31,622","-22,899","-19,928","-33,048","-34,874","-47,313","-49,108","-52,674","-54,541","-41,462","-52,240","-55,942","-50,711","-48,537","-42,279","-56,721","-55,850","-58,778","-65,860","-63,340","-61,693","-45,659","-56,624","-65,343","-54,603","-43,765","-45,513","-57,488","-71,671","-83,168","-69,661","-54,228","-50,282","-38,680","-38,966","-18,274","-12,950","-3,226","2,580","10,494","12,063","2,844","-6,902","-18,977","-26,671","-47,487"
"U.S. Dollar/Japanese Yen","110,635","-11,263","-11,263",-309,"5,833",-417,"-2,550","11,720","23,850","31,019","29,088","34,175","39,636","52,381","53,162","42,318","37,441","37,136","23,565","25,185","23,369","26,367","29,643","12,722","3,462","-6,826","-9,513","-7,941","-1,375","5,448","15,780","14,572","16,843","21,491","10,493","2,415","24,158","70,333","58,596","75,045","110,635","109,182","109,644","90,397","87,191","69,812","93,945","83,567","76,506","81,133","105,809","106,089","102,380","92,900","77,209"
"U.S. Dollar/Mexican Peso","16,712","-83,297","-5,594","-13,121","-11,179","15,083","16,685","5,611","8,286","12,309","13,315","15,631","16,712","9,175","6,075","-2,278","-2,351","-1,736","4,196",341,"10,292","2,751",-325,-579,"3,141","8,800","6,548",-133,"-2,147","7,775","12,094","10,781",302,"1,036","-14,856","-19,589","-28,898","-14,664","-16,703","-15,020","-19,011","-22,909","-19,730","-26,629","-83,297","-54,604","-53,668","-54,958","-51,910","-48,212","-52,844","-53,850","-57,904","-57,792","-51,444"
"U.S. Dollar/New Zealand Dollar","17,935","-18,126","10,036","8,337","4,947","9,910","8,919","14,735","13,860","11,376","16,426","17,935","13,741","14,107","13,547","11,779","12,714","12,819","6,545","2,202","1,181","-2,145","-5,031","-8,064","-12,177","-9,355","-5,489","-8,658","-8,739","-9,019","-4,143","-1,607","-4,346","-1,178","-1,733","-2,014","-4,405","-14,096","-18,126","-12,576","-12,671","-15,591","-12,563","-9,815","-6,664","-4,679","-2,336","-5,255","-6,965","-8,697","-9,074","-6,970","-5,161","-8,114","-9,904"
"U.S. Dollar/South African Rand","33,023","-14,727","-6,012","-6,917","-6,031","11,820","12,792","18,767","15,323","15,622","10,736","10,396","6,683","6,156","6,507","6,096","16,106","18,196","-13,644","-14,727","-13,846","-14,483","-7,249","-6,103","-6,448","-5,839","-6,305","-5,179","-4,344","-2,182","-2,000","17,854","19,981","19,351","20,121","18,077","19,405","22,393","27,175","29,084","27,593","31,663","33,023","22,337","17,179","31,822","32,934","32,382","29,274","27,721","24,575","20,924","22,457","18,178","14,819"
"Australian Dollar/U.S. Dollar","22,577","-44,281","-33,119","-31,240","-29,920","-23,790","-28,373","-30,552","-33,347","-42,495","-38,549","-44,281","-36,659","-39,039","-33,788","-33,230","-27,604","-22,119","-4,387","-6,390","1,473","2,913",-315,"12,148","19,061","15,877","12,014","22,577","16,711","-1,372","-17,115","-8,602","-17,259","-20,148","-27,087","-22,768","-16,507","-9,619","-2,063","-2,075",-915,"1,449","-3,409","-10,766","-17,246","-11,371","-12,911","-19,509","-30,163","-33,147","-33,211","-28,368","-24,575","-30,511","-24,013"
"Brazilian Real/U.S. Dollar","6,856","-21,188","-9,966","-9,255","-2,602","-1,692","-11,170","-20,353","-12,438","-11,798","-9,563","-19,611","-14,292","-15,491","-10,720","-6,728","-4,423","-6,704","-4,052","-7,585","-8,500","-3,417","-2,790","-5,950",-184,552,"-1,105","-1,911","-21,188","-19,483","-6,591","-4,458","-16,823","-18,254","-15,214","-13,251","-5,140","-1,751","-4,649","-9,004","-6,781","-12,438","-6,434","-2,873","2,641","6,856","-12,826","-12,579","-10,798","-10,183","-1,573","3,043","-5,241","-3,938","-1,197"
"Canadian Dollar/U.S. Dollar","-35,053","-103,134","-49,421","-50,122","-63,522","-63,461","-64,580","-66,877","-78,094","-81,647","-90,818","-83,946","-92,372","-88,056","-94,579","-84,857","-84,112","-73,893","-79,448","-73,830","-77,226","-85,703","-90,639","-88,302","-80,811","-64,901","-56,011","-54,882","-44,472","-42,565","-51,618","-44,822","-51,191","-72,955","-89,257","-103,134","-100,669","-102,790","-82,969","-71,590","-66,925","-69,323","-61,714","-70,136","-71,597","-51,232","-51,719","-57,597","-54,905","-46,935","-49,516","-45,293","-45,140","-35,053","-22,250"
"Swiss Franc/U.S. Dollar","2,607","-22,902","-22,902","-21,150","-16,929","-16,741","-15,096","-16,101","-14,160","-14,958","-13,633","-15,169","-11,929","-8,331","-9,808","-5,767","-2,970","2,607","-12,845","-12,795","-12,980","-11,695","-10,395","-3,947","-7,013","-8,167","-4,590","-2,481","-8,082","-4,297","-2,902","-4,123","-4,687","-3,854","-7,167","-5,925","-7,372","-15,446","-18,888","-20,626","-20,173","-18,261","-15,051","-16,757","-14,357","-14,260","-11,010","-11,482","-10,700","-12,321","-7,419","-8,085","-2,371","-1,928","1,716"
"Euro/British Pound","-1,068","-14,661","-1,068","-2,405","-2,660","-5,052","-4,670","-4,763","-6,247","-6,154","-6,588","-6,780","-4,557","-3,413","-2,510","-2,968","-2,722","-1,532","-6,207","-4,749","-4,115","-1,068","-2,063","-2,311","-3,411","-5,008","-5,860","-6,341","-7,435","-6,272","-6,323","-7,935","-8,366","-12,883","-14,661","-13,211","-7,336","-3,912","-3,708","-3,324","-2,916","-3,500","-3,296","-2,657","-5,581","-5,822","-5,279","-6,178","-7,068","-5,546","-4,634","-5,642","-4,142","-4,773","-4,609"
"Euro/U.S. Dollar","32,890","-46,532","32,890","26,376","13,859","-5,919","-8,222","-5,296","-11,227","-20,827","-22,177","-34,296","-35,234","-39,799","-41,588","-41,840","-46,532","-38,245","-43,921","-36,202","-29,956","-39,811","-29,013","-24,034","-30,212","-10,156","12,903","17,906",-103,"4,766","5,718","12,827","25,852","20,468","-2,684","-23,418","-14,608","-18,164","4,340","7,389","-5,473","-9,449","-11,599","-8,819","-1,392","12,343","7,346","-2,379","-7,085","-16,801","-23,184","-35,467","-34,545","-21,555","-9,393"
"British Pound/U.S. Dollar","83,168","-12,063","48,250","40,706","31,956","27,933","33,750","32,068","34,804","31,622","22,899","19,928","33,048","34,874","47,313","49,108","52,674","54,541","41,462","52,240","55,942","50,711","48,537","42,279","56,721","55,850","58,778","65,860","63,340","61,693","45,659","56,624","65,343","54,603","43,765","45,513","57,488","71,671","83,168","69,661","54,228","50,282","38,680","38,966","18,274","12,950","3,226","-2,580","-10,494","-12,063","-2,844","6,902","18,977","26,671","47,487"
"Japanese Yen/U.S. Dollar","11,263","-110,635","11,263",309,"-5,833",417,"2,550","-11,720","-23,850","-31,019","-29,088","-34,175","-39,636","-52,381","-53,162","-42,318","-37,441","-37,136","-23,565","-25,185","-23,369","-26,367","-29,643","-12,722","-3,462","6,826","9,513","7,941","1,375","-5,448","-15,780","-14,572","-16,843","-21,491","-10,493","-2,415","-24,158","-70,333","-58,596","-75,045","-110,635","-109,182","-109,644","-90,397","-87,191","-69,812","-93,945","-83,567","-76,506","-81,133","-105,809","-106,089","-102,380","-92,900","-77,209"
"Mexican Peso/U.S. Dollar","83,297","-16,712","5,594","13,121","11,179","-15,083","-16,685","-5,611","-8,286","-12,309","-13,315","-15,631","-16,712","-9,175","-6,075","2,278","2,351","1,736","-4,196",-341,"-10,292","-2,751",325,579,"-3,141","-8,800","-6,548",133,"2,147","-7,775","-12,094","-10,781",-302,"-1,036","14,856","19,589","28,898","14,664","16,703","15,020","19,011","22,909","19,730","26,629","83,297","54,604","53,668","54,958","51,910","48,212","52,844","53,850","57,904","57,792","51,444"
"New Zealand Dollar/U.S. Dollar","18,126","-17,935","-10,036","-8,337","-4,947","-9,910","-8,919","-14,735","-13,860","-11,376","-16,426","-17,935","-13,741","-14,107","-13,547","-11,779","-12,714","-12,819","-6,545","-2,202","-1,181","2,145","5,031","8,064","12,177","9,355","5,489","8,658","8,739","9,019","4,143","1,607","4,346","1,178","1,733","2,014","4,405","14,096","18,126","12,576","12,671","15,591","12,563","9,815","6,664","4,679","2,336","5,255","6,965","8,697","9,074","6,970","5,161","8,114","9,904"
"South African Rand/U.S. Dollar","14,727","-33,023","6,012","6,917","6,031","-11,820","-12,792","-18,767","-15,323","-15,622","-10,736","-10,396","-6,683","-6,156","-6,507","-6,096","-16,106","-18,196","13,644","14,727","13,846","14,483","7,249","6,103","6,448","5,839","6,305","5,179","4,344","2,182","2,000","-17,854","-19,981","-19,351","-20,121","-18,077","-19,405","-22,393","-27,175","-29,084","-27,593","-31,663","-33,023","-22,337","-17,179","-31,822","-32,934","-32,382","-29,274","-27,721","-24,575","-20,924","-22,457","-18,178","-14,819"
"U.S. Dollar/Australian Dollar","44,281","-22,577","33,119","31,240","29,920","23,790","28,373","30,552","33,347","42,495","38,549","44,281","36,659","39,039","33,788","33,230","27,604","22,119","4,387","6,390","-1,473","-2,913",315,"-12,148","-19,061","-15,877","-12,014","-22,577","-16,711","1,372","17,115","8,602","17,259","20,148","27,087","22,768","16,507","9,619","2,063","2,075",915,"-1,449","3,409","10,766","17,246","11,371","12,911","19,509","30,163","33,147","33,211","28,368","24,575","30,511","24,013"
"U.S. Dollar/Brazilian Real","21,188","-6,856","9,966","9,255","2,602","1,692","11,170","20,353","12,438","11,798","9,563","19,611","14,292","15,491","10,720","6,728","4,423","6,704","4,052","7,585","8,500","3,417","2,790","5,950",184,-552,"1,105","1,911","21,188","19,483","6,591","4,458","16,823","18,254","15,214","13,251","5,140","1,751","4,649","9,004","6,781","12,438","6,434","2,873","-2,641","-6,856","12,826","12,579","10,798","10,183","1,573","-3,043","5,241","3,938","1,197"
"U.S. Dollar/Canadian Dollar","103,134","35,053","49,421","50,122","63,522","63,461","64,580","66,877","78,094","81,647","90,818","83,946","92,372","88,056","94,579","84,857","84,112","73,893","79,448","73,830","77,226","85,703","90,639","88,302","80,811","64,901","56,011","54,882","44,472","42,565","51,618","44,822","51,191","72,955","89,257","103,134","100,669","102,790","82,969","71,590","66,925","69,323","61,714","70,136","71,597","51,232","51,719","57,597","54,905","46,935","49,516","45,293","45,140","35,053","22,250"
"U.S. Dollar/Swiss Franc","22,902","-2,607","22,902","21,150","16,929","16,741","15,096","16,101","14,160","14,958","13,633","15,169","11,929","8,331","9,808","5,767","2,970","-2,607","12,845","12,795","12,980","11,695","10,395","3,947","7,013","8,167","4,590","2,481","8,082","4,297","2,902","4,123","4,687","3,854","7,167","5,925","7,372","15,446","18,888","20,626","20,173","18,261","15,051","16,757","14,357","14,260","11,010","11,482","10,700","12,321","7,419","8,085","2,371","1,928","-1,716"
"British Pound/Euro","14,661","1,068","1,068","2,405","2,660","5,052","4,670","4,763","6,247","6,154","6,588","6,780","4,557","3,413","2,510","2,968","2,722","1,532","6,207","4,749","4,115","1,068","2,063","2,311","3,411","5,008","5,860","6,341","7,435","6,272","6,323","7,935","8,366","12,883","14,661","13,211","7,336","3,912","3,708","3,324","2,916","3,500","3,296","2,657","5,581","5,822","5,279","6,178","7,068","5,546","4,634","5,642","4,142","4,773","4,609"
"U.S. Dollar/Euro","46,532","-32,890","-32,890","-26,376","-13,859","5,919","8,222","5,296","11,227","20,827","22,177","34,296","35,234","39,799","41,588","41,840","46,532","38,245","43,921","36,202","29,956","39,811","29,013","24,034","30,212","10,156","-12,903","-17,906",103,"-4,766","-5,718","-12,827","-25,852","-20,468","2,684","23,418","14,608","18,164","-4,340","-7,389","5,473","9,449","11,599","8,819","1,392","-12,343","-7,346","2,379","7,085","16,801","23,184","35,467","34,545","21,555","9,393"
"U.S. Dollar/British Pound","12,063","-83,168","-48,250","-40,706","-31,956","-27,933","-33,750","-32,068","-34,804","-31,622","-22,899","-19,928","-33,048","-34,874","-47,313","-49,108","-52,674","-54,541","-41,462","-52,240","-55,942","-50,711","-48,537","-42,279","-56,721","-55,850","-58,778","-65,860","-63,340","-61,693","-45,659","-56,624","-65,343","-54,603","-43,765","-45,513","-57,488","-71,671","-83,168","-69,661","-54,228","-50,282","-38,680","-38,966","-18,274","-12,950","-3,226","2,580","10,494","12,063","2,844","-6,902","-18,977","-26,671","-47,487"
"U.S. Dollar/Japanese Yen","110,635","-11,263","-11,263",-309,"5,833",-417,"-2,550","11,720","23,850","31,019","29,088","34,175","39,636","52,381","53,162","42,318","37,441","37,136","23,565","25,185","23,369","26,367","29,643","12,722","3,462","-6,826","-9,513","-7,941","-1,375","5,448","15,780","14,572","16,843","21,491","10,493","2,415","24,158","70,333","58,596","75,045","110,635","109,182","109,644","90,397","87,191","69,812","93,945","83,567","76,506","81,133","105,809","106,089","102,380","92,900","77,209"
"U.S. Dollar/Mexican Peso","16,712","-83,297","-5,594","-13,121","-11,179","15,083","16,685","5,611","8,286","12,309","13,315","15,631","16,712","9,175","6,075","-2,278","-2,351","-1,736","4,196",341,"10,292","2,751",-325,-579,"3,141","8,800","6,548",-133,"-2,147","7,775","12,094","10,781",302,"1,036","-14,856","-19,589","-28,898","-14,664","-16,703","-15,020","-19,011","-22,909","-19,730","-26,629","-83,297","-54,604","-53,668","-54,958","-51,910","-48,212","-52,844","-53,850","-57,904","-57,792","-51,444"
"U.S. Dollar/New Zealand Dollar","17,935","-18,126","10,036","8,337","4,947","9,910","8,919","14,735","13,860","11,376","16,426","17,935","13,741","14,107","13,547","11,779","12,714","12,819","6,545","2,202","1,181","-2,145","-5,031","-8,064","-12,177","-9,355","-5,489","-8,658","-8,739","-9,019","-4,143","-1,607","-4,346","-1,178","-1,733","-2,014","-4,405","-14,096","-18,126","-12,576","-12,671","-15,591","-12,563","-9,815","-6,664","-4,679","-2,336","-5,255","-6,965","-8,697","-9,074","-6,970","-5,161","-8,114","-9,904"
"U.S. Dollar/South African Rand","33,023","-14,727","-6,012","-6,917","-6,031","11,820","12,792","18,767","15,323","15,622","10,736","10,396","6,683","6,156","6,507","6,096","16,106","18,196","-13,644","-14,727","-13,846","-14,483","-7,249","-6,103","-6,448","-5,839","-6,305","-5,179","-4,344","-2,182","-2,000","17,854","19,981","19,351","20,121","18,077","19,405","22,393","27,175","29,084","27,593","31,663","33,023","22,337","17,179","31,822","32,934","32,382","29,274","27,721","24,575","20,924","22,457","18,178","14,819"
"Downloaded from Barchart.com as of 04-10-2025 04:58am CDT"
